"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"4633","DTF - Downtown Flower","Cali Lightning 3.5g - Signature","Cali Lightning","CLT-221227.0001","35028","12/27/2022","https://lims.tagleaf.com/coas/jsyg4OjpaL66jYwvbY4Ck91V5ctoK9Z9Y2BtyFB3nfm7HNjROQ","Forever 46, LLC - 00000057DCHF00477864","","",NA,"2/21/2023",NA
"4634","iLAVA","ClearGold Cartridge 500mg - Durban Poison","Durban Poison","231221-008CGDP","54688","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3a602e81-6b9b-43e5-9983-d8ff965e1e62","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4635","iLAVA","ClearGold Cartridge 500mg - Durban Poison","Durban Poison","231221-008CGDP","54688","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/3a602e81-6b9b-43e5-9983-d8ff965e1e62","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4636","iLAVA","ClearGold Cartridge 1000mg - Northern Lights","Northern Lights","231221-013CGNL","55162","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/a2160f1a-c778-48b2-bcd3-028e14376d2b","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4637","iLAVA","ClearGold Cartridge 1000mg - Northern Lights","Northern Lights","231221-013CGNL","55162","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/a2160f1a-c778-48b2-bcd3-028e14376d2b","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4638","iLAVA","ClearGold Cartridge 1000mg - Northern Lights","Northern Lights","231221-013CGNL","55162","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/a2160f1a-c778-48b2-bcd3-028e14376d2b","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4639","iLAVA","ClearGold Cartridge 1000mg - Northern Lights","Northern Lights","231221-013CGNL","55162","12/27/2022","https://orders.confidentcannabis.com/report/public/pdf/a2160f1a-c778-48b2-bcd3-028e14376d2b","Forever 46, LLC - 00000057DCHF00477864","","12/21/2023","12/21/2023",NA,"12/21/2023"
"4640","DTF - Downtown Flower","Monkey Nougat 3.5g - Mid","Monkey Nougat","323s-221227.0001","38265","12/27/2022","https://lims.tagleaf.com/coas/b3raevZcxeexAy4HO2ejkwm9TGO2ti2DxZ6mTwFHHmxGP5F0EB","Forever 46, LLC - 00000057DCHF00477864","","","3/31/2023","3/30/2023",NA
"4641","DTF - Downtown Flower","Monkey Nougat 3.5g - Mid","Monkey Nougat","323s-221227.0001","38265","12/27/2022","https://lims.tagleaf.com/coas/b3raevZcxeexAy4HO2ejkwm9TGO2ti2DxZ6mTwFHHmxGP5F0EB","Forever 46, LLC - 00000057DCHF00477864","","","3/31/2023","",NA
"4642","DTF - Downtown Flower","Monkey Nougat 3.5g - Mid","Monkey Nougat","323s-221227.0001","38265","12/27/2022","https://lims.tagleaf.com/coas/b3raevZcxeexAy4HO2ejkwm9TGO2ti2DxZ6mTwFHHmxGP5F0EB","Forever 46, LLC - 00000057DCHF00477864","","","3/31/2023","3/31/2023",NA
